title,genre,age,poster_url
개와늑대의시간,드라마,,https://image.wavve.com/v1/thumbnails/480_720_20_80/202105/20210521/09f0fb4550d9072214e601f2246ad2e4.jpg
검사프린세스,드라마,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2023/S01_V0000343372-Vertical_LogoY.jpg
핑크퐁 공룡 동요,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202010/C9601_C96000000014-2.jpg
엉뚱발랄 콩순이와 친구들 4기,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202012/F0901_F09000000005-2.jpg
뚜식이 특별편 원룸소년단,애니메이션,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2023/C8201_C82000000584-Vertical_LogoY.jpg
신만이아는세계,애니메이션,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/201908/C7201_C72000000063_2.jpg
코바야시네 메이드래곤S,애니메이션,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202111/C6101_C61000000401-2.jpg
겁쟁이페달 2기,애니메이션,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/201802/H04_SP0000042057.jpg
뽀롱뽀롱 뽀로로4,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202209/F2301_F23000000219-2.jpg
브레드이발소 시즌3 Part1,키즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202210/F2201_F22000000002-2.jpg
벅스봇 이그니션 스페셜,애니메이션,,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202308/1691632812059651227.jpg
브레드이발소 시즌3 Part2,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2023/F2201_F22000000007-Vertical_LogoY.jpg
드래곤볼Z KAI 1기,애니메이션,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/201804/CR02_DN0000000186.jpg
원펀맨 2,애니메이션,,https://image.wavve.com/v1/thumbnails/480_720_20_80/201909/20190930/d704cf4540b24a5b926de5f978fa9a7d.jpg
나의 신부 군,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202306/1687851000782237797.jpg
양산형 리코  프라모델 걸의 인생 조립기,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2023/F4401_F44000000028-Vertical_LogoY.jpg
고쿠센 3,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202102/CR02_DN0000000315-2.jpg
절대BL이되는세계VS절대BL이되고싶지않은남자2,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202203/C3601_C36000000254-2.jpg
범죄의 순간들 시즌2,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2023/C3701_C37000000306-Vertical_LogoY.jpg
범죄의 순간들,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2023/C3701_C37000000274-Vertical_LogoY.jpg
아메리칸 극한직업,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2023/C3701_C37000000273-Vertical_LogoY.jpg
강석우의 종점여행 2,시사교양,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202309/1694581200668140765.jpg
